What kind of pet is this (Dog, Cat, Bird, Other)	Pet's Full Name (you don't have to include your last name. Think "Winston Churchill" and not "Winston Churchill MYLASTNAME")	Pet's everyday name (e.g. "Church")	Pet's age	Pet's breed (if applicable)
Dog, dog, dog , cat	Buttercup Maplesde, zuez Maplesden, Bella Maplesden, Hercules Maplesden	Butternut, zuzy , Bella, Hercules.	2.5 yrs 2.5 yrs 2 yrs 2 yrs	Unknown unknown Bali dog mix and tabby cat
Dog	Ghia Lynn	Ghia or Geeg	1	Border Collie/ Chinese sharpei 
Dog	Delilah	Lilah	7	Beagle
Cat	Bailey’s Irish Cream	Bailey	13	Siamese mix
Dog	Treacle	Treacle	10	Border Collie cross (mongrel)
Dog	Sam	Sam	11	Labrador 
Dog	Tyson	Tysbert, T McT, Mucki, Muckelbert, Muckmuck, Maggey	14	Rottweiler-German Shepherd-Mix
Cat	Madison Square Garden	Square	2	
Cat	Garfield	Cooter 😳	8	Orange tabby
Dog	Parker	Parker	11	Goldendoodle
Dog	Captain Avro Clarence	Avro	6	Schnauzer 
Dog	Carlene	Weentz	4	Mutt
dog	Linda	Linda	10	white west highland terrier
Cat	Stellabella	Stella	7	Tortie
Dog	Toby Wooferton	Toby	18	Mixed
Dog	Sacha	Fjollehoved (Danish for goofball) 	13	Dog (Golden Labrador Retriever)
Cat 	Ponce de Leon	Ponce 	7?	Domestic shorthair 
Dog	Snickers	Snicks	14	Labradoodle 
Cat	Echo	Echo	12	
Cat	Tiga	Tiga 	7	Domestic shorthair 
Dog	Sherlock Bones	Sherlock	4	Pit Bull Mix
Dog	Irene Adler	Addie	8	Bulldog
Cat	Bloo	Bloo	11	
Dog	Wallace	Wally 	2	Labradoodles 
Dog	Dude	Handsome	2.5	Labrador Retriever
Cat	Mitten	Tuna	13	
Dog	Bailey	Bailey	9	Golden Retriever
Dog	Willow	Sweetie	6	Labrador Retriever
Dog	Philistine Smoosh	Bill	14	Jack Russell Terrier
Cat	Kitty Cat	KC	13	unknown
Cat	Elvis	Tubby	12	Siamese
Dog	Henry Nacho 	Henny	8	Golden Retriever 
Dog	Maximilian Kolby	Maxy 	16	Golden retriever 
Dog	Argos	Argos	6	Mixed
Ferret	Buttercup	Butter	Unsure	
Elephant 	Jumbo	Jumbo	19	Loxodon
Dog	Madeline Grace 	Ma ma 	15	Golden retriever 
Dog	Elvis	Elvis	11	Cockapoo
Dog	Coconut Butter	Coco	5	Mix
Dog	Lucy-fur	Lucy	12	Golden retriever
Dog	Sophie Grace	Soph	13	Brindle Black
Dog	Prince	Prince	14	Poodle, Shih Tzu and a misc terrier/sporting breed mix
Dog	Jackson Buttsickle	Jacks	4	Mix
Dog	Lassie	Lass Lass	14	Moth Eaten Carpet
Dog	Charles Xavier II	Charlie	4	Great Pyr
Cat	GingerSnapz C. Cat	GingerSnapz	7	Domestic Shorthair
Dog	Caroline	Caroline	5 years old	Purebred Alabama Mutt
Cat	Shadow	Shadow	11	
Cat	Murray 2	Murray	7	
Dog	Beau	Goomby, Mr. Beauregard	4	Golden Retriever
Dog	Lindon	Lindy loo	10	Pit bull/lab mix
Cat	Marilyn	Chirp, Pumpkin Pie, Meow Meow	5	Orange
Dog	Tedward	Teddy	4	Shih-Tzu Mix
Dog	Zuzu	Zu	4	Shih Tzu x Bichon
Dog	Marcus Brutus	Brutus	4	Boxer
Cat	Charlie Chaplin 	Charlie	1	
Cat	Molly Tigerlily	Molly	1	
Cat	Britannia	Brit	10	
Dog	Brownie Leigh	Brownie 	3	Golden Shepherd 
Dog	Jersey Girl	Jersey 	11	Husky/malamute/sneaky neighbor's dog mix
dog	Stella	Stells	10	golden doodle 
Dog	Lizzie	Lizzie Pie	6	Husky/sneaky neighbor's dog mix
cat	Marby	Beanie baby	14	American shorthair
Dog	Roxy	Roxy Socks	1	Mutt
Dog	Coco Murfree	Coco	9	Border Collie
Dog	Ozzy	Ozlet	1	Minnie Australian Shepherd/Cockapoo
Dog	Winston Pigaloo	Winston or Lewis	6	Pug
Dog	Noodle 	Noodle / Weenie	13	Weiner Dog
Dog	Phantom	Phantom 	5	Staffordshire pit bull
Dog	Ellen Park	Ellen	3	Gr
Cat	Meredith	Mer	1	Domestic shorthair 
Cat	Brennan Zachary	Punkin butt	8	Domestic short hair
Other	Fishy	Fishy	18	
Dog	Spud	Schmoops 	1.5 years	Pembroke Welsh Corgi
Dog	FN 2187	Finn	1.5 years 	Goldendoodle 
Cat	Frank En Stein  	Frank	8	Maine coon 
Dog	Pisco	Pisco	5	German Wirehaired Pointer
Dog	Sadie	Sadie	3	GSD
Dog	Lola	Loli Ravioli 	9 months	Golden retriever
Sog	Addie Heart	Addie	8	Lab/Chow chow mix
Dog	Ernie	Ernburn, Erndog, Ernieworm 	1	
Chinchilla	Milo Chicken Nugget	Milo	6 1/2 months	
Cat	Melon	Mel	3	Black
Dog	Semaj	Sammich, Dumbledork	4	Shih tzu
Dog	Maya	Little Miss Maya, Diva	8	Shih tzu
Dog	Bijou	Bijou	12	Jack russel terrier x toy poodle
Dog	Pesto	Pesto	9 months	Beagle
Dog	Maggie 	Magz	Unknown	Eskimo mix
Cat	Doctor snuggles von fluffybottom	Doc	6	
Dog	Toby	Toby	1	Golden retriever
Dog	Jacob Marley	Jake	6	Golden retriever
cat	dixie	potato	11?	fluffy
Dog	Cujo	Bubby	11	Cocker Spaniel
Cat	Finn	Finnard  	9	Long haired 
Dog	Maizie	Maizie	4 months	Mini schnauzer
Dog	Bruce D4	Bruce	12	Dachshund
Dog	Jackie Kate	Jackie	5	Lab/beagle mix
Dog	Daisy Bear	Daisy or Bear	2.5 years	German Shepherd
Gecko	Donut	Donut	5	Crested Gecko
Fish	Whiskers Goldie-the-Goldfish Sweetie	Whiskies	2	Beta
Dog	Tinker Stinker	Stinks	2.5 years	Germann Shepherd
Cat	Vinnie	Huggiebear Biden	4	N/A
Cats	Watson & Crick (I have two cats)	Dr. Watson & Dr. Crick	8.5 years	a tabby and a grey cat
Dog	Mile High Ice Storm	Miles	7	Golden Retriever 
Dog	Breezy Bear	Breezy	1	Golden Retriever 
dog	Nara	Gorda	3	Australian cattle dog
Dog	Wyatt Daniel, the Wild Corgo	Wyatt	2	Pembroke Welsh Corgi
		Petra		Golden Retriever
Fish	Waffle	Waffle	2	Betta fish 
Dog	Rosie	Rosie	10	Walker Hound
Dog	Lilly	Lilly	10	German Shepherd/Husky/Beagle/Chow Chow
Dog	Charles	Charles	12	Miniature Schnauzer/Poodle
Dog	Pippa	Pip	1.1 years	Goldendoodle
Dog	Oliver	Ollie	Seven	Jack Russell terrier 
Dog	Kiku	Kiku	3	Mutt
Dog	Brandy	Brenda	10	Havanese 
Dog	Bobby	bobkin	8	Shih Tzu
Dog	Emma	Emma	12	Shih-Tzu Poodle Mix
Dog	Bessy 	Bess	10	Labrador 
Cat	Romanovski 	Romi 	5	Domestic Short Hair
Cat	Fifi La Pou	Fifi	2	Domestic Long Hair 
Cat	Georgie Porgie	Georgie / Saucy 	1	Domestic Short Hair 
Dog	Dakota	Woobis, Woobie	13	Mix
Dog 	Altrichter	Cooper	9	Golden Retriever
Dog 	Tucker 	Tuck	7	Golden retriever 
Cat	Milo	Milo	13	Tabby
Fish	Pepperwood	Pepperwood	1+ years	Betta 
Cat	Jameson Chewbacca 	Jamie	15	American Shorthair
Dog	Penny Bellew	Penny	6	Labrador
Ca	Buddy	Buddy	2	
Cat	Cat Jenkins	Cat	2	
Cat	Crouton	Crouton	3	
dog	Morena	Morena	2 years	corgi
Cat	Samus Aran	Samus	14	Tabby
Dog	Brownie	Bub	13	Maltipoo 
Dog	Mose Schrute	Mose	2	German shepherd 
Dog	Rocky	Rocky	6	Corgidor 
Cat	Rosalind Franklin 	Rosie	1	
Cat	Harley quinn	Baby kitty 	5	
Fish	Sushi	Sushi	2	Beta
Cat	Mister Beans	Mister beans/ beans/ beansy boi	10	Grey domestic short hair 
Goldfish	Lord Baphomet: Destroyer of Worlds	Baphomet	We rescued from a fountain. Unknown. 	NA
Dog	Tyler John (had to give him a middle name for when he was in trouble)	Ty	12	Rhodesian Ridgeback
Cat	Adanac	Chunky	2	American shorthair
Cat	Callister	Callibean	2	American shorthair
dog	Tux	Tux	9	Black lab mix
Dog	Ruby 	Ruby	3	coonhound/beagle
dog	Pooch-K	Pooch-k the pooch	7	mutt
Dog	Scooby	Scoobers	7 months	mutt
Cat	Dwayne	Mr. Baby Dwayne, Dwaniel, Bub.	3	American Shorthair
Cat	Alice	Spippy, Speeps, Kitten.	11	American Shorthair
Dog	Lloyd 	Lloyd	11	Golden retriever 
Cat	Bo Schembeckler	Kitty	15	Short hair
Dog	Ishka	Ish/Ishka	8	Golden retriever
Dog	Millie 	Millie	1.5	Border collie
Dog	Rossa	Ross, Rossy, Rossapoo	5	Golden Retriever
Dog	Wookie	Wookie	7	Goldendoodle
Dog	Tucker	Tucker	2	Lab
Dog	Keifer	Keifer	14	Yellow lab
Dog	Frankie	Frankie	7	Husky mix
Cat	Tenzing	Tenzing	12	Shorthair calico
Dog	Sammy	Sam	5	JRT/miniature pincher
Dog	Barrett	Barrett	3	German Shepherd
Dog	Benjamin	Benj	2	Border Collie/Belgian Malinois
Dog	Laney	Laney	12	Golden Retriever
Dog	Dixie	Lady	3	American Pitbull
Dog	Diesel	Diesel	3	Pitbull mix
Hamster	Hamtaro 	Hamtaro	🤷🏼‍♀️	
Dog	Baxter	Baxter	7.5	Golden Retriever 
Dog	Riley Marie	Riley	13	Cocker Spaniel
Dog	Reginald Fonzerelli Hawkes	Reg	12	Golden doodle
Cat	Molly	Molly	6	
Cat	Kevin	Booboo	3	
Dog	Erik	Earwig	4	Wirehaired dachshund
Dog	Oliver	Oli 	8	Jack russell 
Spiney leaf insect	Thing one	Her	1	
Dog	Bilbo Spud Doggins	Bilbo	5	Corgi/Cocker Spaniel mix
Dog	Bailey Woofer	Bailey	13	Cocker Spaniel 
Cat	Roy lee laramie 	Roy 	10	
Cat	Petunia	Tuney	8	
Dog 	Skyy like the vodka 	Skyy	3	Husky 
Other 	Stubbs	Stubs	15	Leopard gecko 
Dog	Malibu like the rum 	Malibu	1	Golden retriever 
Dog	Golden Tate 	Tate 	2	Golden Retriever 
Dog	Bear	Bear	7 mo	Labrador Retriever
Dog	Stanley	Stan	6 months 	Miniature schnauzer 
Cat	Coco	Coco	4	Shorthair 
Dog	Andromeda Mae	Andie	6	Golden doodle 
Dog	Eloise Gertrude	Ellie	2	Labradoodle 
Dog	Lady Bonnie of Coventry	Bonnie	8	Black lab mix
Cat	Ophelia Marie KitKat Mcdougle O’Malley Jr. 	Ophelia	9	
Cat	Sie Isaac Newton 	Newton	16	
Cat	Black Cat	BC	3	
Dog	Gibson	Gibby	2.5	Pit bull mix
Dog	Brewskie	Brew	11	Puggle
Cat	Wolfgang Motzart	Wolfie	7	American shorthair
Dog	Koli	Koli	11	Yorker Terrier/Silky Terrier Mix
Dog	Moxie Jean Narice	Moxie	1	German Shepherd mix
Dog	Dancer Pants	Dancer	17	Havanese 
Cat	Kitty or The Cat (if she's being bad) 	Kitty	1	
Fish	Blueberry	Blue	6 months 	Beta Fish 
